path_change,signal_date,strategy_leg,ts_code,exit_date,name,buy_date,account_return,return_source
ADDED,20240524,N,301389.SZ,20240528,隆扬电子,20240527,-0.0940963963748289,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;T+1开/T+2收;显式费用
ADDED,20240625,N,600216.SH,20240627,浙江医药,20240626,0.0108112639257293,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;T+1开/T+2收;显式费用
ADDED,20240710,N,002920.SZ,20240712,德赛西威,20240711,0.0256882505547337,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;T+1开/T+2收;显式费用
ADDED,20240716,N,688256.SH,20240718,寒武纪-U,20240717,0.0169110107009925,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;T+1开/T+2收;显式费用
LOST,20240717,M,920699.BJ,20240719,海达尔,20240718,-0.1521348924185057,M兜底:weak;流通市值最小
ADDED,20240718,M,920553.BJ,20240722,凯腾精工,20240719,0.004886185243328,M兜底:weak;流通市值最小
ADDED,20240723,M,001379.SZ,20240725,腾达科技,20240724,0.2351512519513912,M兜底:weak;流通市值最小
ADDED,20240725,N,600611.SH,20240729,大众交通,20240726,0.1043139140009382,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;T+1开/T+2收;显式费用
ADDED,20240812,N,300147.SZ,20240814,香雪制药,20240813,0.0538109423076923,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;T+1开/T+2收;显式费用
ADDED,20240822,N,000810.SZ,20240826,创维数字,20240823,0.1462297845028143,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;T+1开/T+2收;显式费用
LOST,20240823,E,300400.SZ,20240828,劲拓股份,20240826,-0.0183692769116694,E_R1:33;first_time=1000_1100
ADDED,20240827,M,920149.BJ,20240829,旭杰科技,20240828,-0.0550674994962723,M兜底:weak;流通市值最小
