action_date,cash_before,equity_before,signal_date,status,execution_status,strategy_leg,account_return,cash_after,equity_after,ts_code,name,exit_date,entry_filled,position_opened,outcome_observable,quantity,position_ratio,entry_price,exit_price,buy_gross,raw_sell_gross,adjusted_sell_gross,corporate_action_adjustment,buy_commission,sell_commission,transfer_fee,stamp_tax,buy_slippage,sell_slippage,total_fees,total_slippage,buy_adj_factor,sell_adj_factor,fill_gate_required,fill_input_reliable,fill_probability_threshold,planned_buy_amount,estimated_turnover_amount,current_queue_amount,fill_probability_method,fill_probability,fill_gate_reason,peak_equity,drawdown
20231107,625898.6992977699,625898.6992977699,20231107,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,OK,D,0.0,625898.6992977699,625898.6992977699,300951.SZ,博硕科技,20231109,False,False,True,,,,,,,,,,,,,,,,,,,True,False,0.8,512819.99999999994,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,625898.6992977699,0.0
20240208,714484.2353380711,714484.2353380711,20240208,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,OK,D,0.0,714484.2353380711,714484.2353380711,688683.SH,莱尔科技,20240220,False,False,True,,,,,,,,,,,,,,,,,,,True,False,0.8,589438.08,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,834637.752471791,-0.14395888129656675
20240314,760507.6880644712,760507.6880644712,20240314,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,OK,D,0.0,760507.6880644712,760507.6880644712,300347.SZ,泰格医药,20240318,False,False,True,,,,,,,,,,,,,,,,,,,True,False,0.8,627120.0,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,834637.752471791,-0.08881705169432197
20240422,804222.9172518915,804222.9172518915,20240422,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,OK,D,0.0,804222.9172518915,804222.9172518915,300200.SZ,高盟新材,20240424,False,False,True,,,,,,,,,,,,,,,,,,,True,False,0.8,662805.0,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,847390.3101897313,-0.05094157015811829
20240605,1209631.7960911614,1209631.7960911614,20240605,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,OK,D,0.0,1209631.7960911614,1209631.7960911614,300656.SZ,民德电子,20240607,False,False,True,,,,,,,,,,,,,,,,,,,True,False,0.8,997239.9999999999,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,1209631.7960911614,0.0
20240607,1209631.7960911614,1209631.7960911614,20240607,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,QUEUE_UNCONFIRMED_NO_DEPTH,D,0.0,1209631.7960911614,1209631.7960911614,300716.SZ,泉为科技,20240612,False,False,False,,,,,,,,,,,,,,,,,,,True,False,0.8,997674.0,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,1209631.7960911614,0.0
20241101,4568956.828992416,4568956.828992416,20241101,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,OK,D,0.0,4568956.828992416,4568956.828992416,301392.SZ,汇成真空,20241105,False,False,True,,,,,,,,,,,,,,,,,,,True,False,0.8,3764009.9999999995,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,4568956.828992416,0.0
20241111,4308995.483779716,4308995.483779716,20241111,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,OK,D,0.0,4308995.483779716,4308995.483779716,688116.SH,天奈科技,20241113,False,False,True,,,,,,,,,,,,,,,,,,,True,False,0.8,3554897.29,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,4568956.828992416,-0.05689730827901662
20250624,45980017.66604978,45980017.66604978,20250624,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,QUEUE_UNCONFIRMED_NO_DEPTH,D,0.0,45980017.66604978,45980017.66604978,300969.SZ,恒帅股份,20250626,False,False,False,,,,,,,,,,,,,,,,,,,True,False,0.8,37928755.0,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,46839898.49660619,-0.018357871348050003
20250922,237531776.40091473,237531776.40091473,20250922,PLAN_NOT_EXECUTED_FILL_GATE_UNVERIFIABLE,OK,D,0.0,237531776.40091473,237531776.40091473,300250.SZ,初灵信息,20250924,False,False,True,,,,,,,,,,,,,,,,,,,True,False,0.8,195963040.0,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS,,缺少可靠的历史信号时预估成交金额或队列金额,237531776.40091473,0.0
