signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,matched_strategy_branch_ids,resolved_exit_profile_id,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date,trade_date,amount_ratio_bucket,fd_ratio_bucket,limit_up_count_bucket,market_chain_count_bucket,market_leader_rank_bucket,factor_contract_passed
20231011,C,002947.SZ,恒铭达,20231012,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,331675416.18185496,OK,20231013,0.23385269439081102,22.3,22.3223,27.57,27.54243,1.774,1.774,1.0,0.1918482008093924,True,True,True,20231013,20231012,20231011,1_2_2,0_1pct_0_3pct,30_50,3_8,rank_4_10,True
20231117,C,603838.SH,四通股份,20231120,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,5024352.527999999,OK,20231121,0.26499993512980535,7.7,7.707699999999999,9.76,9.75024,2.085,2.085,1.0,0.2175238602754389,True,True,True,20231121,20231120,20231117,1_2_2,0_1pct_0_3pct,30_50,8_15,rank_4_10,True
20240411,C,002597.SZ,金禾实业,20240412,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,521624175.498438,OK,20240415,0.0085022581435783,20.91,20.930909999999997,21.13,21.10887,5.235,5.235,1.0,0.006084681334447652,True,True,True,20240415,20240412,20240411,3_5,0_1pct_0_3pct,30_50,3_8,rank_4_10,True
20240524,C,000958.SZ,电投产融,20240527,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,220058080.5513875,OK,20240528,-0.08444164531121034,4.6,4.604599999999999,4.22,4.21578,4.722,4.722,1.0,-0.07053192925226931,True,True,True,20240528,20240527,20240524,3_5,0_1pct_0_3pct,30_50,3_8,rank_4_10,True
20240628,C,600076.SH,康欣新材,20240701,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,84051747.245496,OK,20240702,0.2780169470816958,1.39,1.3913899999999997,1.78,1.7782200000000001,3.265,3.265,1.0,0.22825419651751166,True,True,True,20240702,20240701,20240628,3_5,0_1pct_0_3pct,30_50,3_8,rank_4_10,True
20240703,C,603079.SH,圣达生物,20240704,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,63579218.199549004,OK,20240705,0.007564734916651217,11.48,11.49148,11.59,11.57841,2.07,2.07,1.0,0.005311851172129201,True,True,True,20240705,20240704,20240703,1_2_2,0_1pct_0_3pct,30_50,8_15,rank_4_10,True
20240712,C,603188.SH,亚邦股份,20240715,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,109440655.9264,OK,20240716,-0.09509520330415844,2.68,2.68268,2.43,2.4275700000000002,2.16,2.16,1.0,-0.0793139953563227,True,True,True,20240716,20240715,20240712,3_5,0_1pct_0_3pct,30_50,8_15,rank_4_10,True
20240718,C,600620.SH,天宸股份,20240719,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,227032338.13810003,OK,20240722,-0.03526473526473528,4.8,4.804799999999999,4.64,4.6353599999999995,429.174,429.174,1.0,-0.029993840934065943,True,True,True,20240722,20240719,20240718,3_5,0_1pct_0_3pct,30_50,3_8,rank_4_10,True
20240809,C,003026.SZ,中晶科技,20240812,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,135800740.05079347,OK,20240813,0.14321392892821483,30.24,30.270239999999994,34.64,34.60536,1.3381,1.3381,1.0,0.11713178865777094,True,True,True,20240813,20240812,20240809,1_2_2,0_1pct_0_3pct,30_50,3_8,rank_4_10,True
20240815,C,002425.SZ,凯撒文化,20240816,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,238506271.187946,OK,20240819,0.0612087912087913,3.0,3.0029999999999997,3.19,3.18681,4.425,4.425,1.0,0.04953234997252755,True,True,True,20240819,20240816,20240815,1_2_2,0_1pct_0_3pct,30_50,8_15,rank_4_10,True
20240828,C,600693.SH,东百集团,20240829,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,94526099.417552,OK,20240830,0.0014081481658272388,2.93,2.93293,2.94,2.93706,10.7756,10.7756,1.0,0.000236781241795658,True,True,True,20240830,20240829,20240828,gte_5,0_1pct_0_3pct,30_50,3_8,rank_4_10,True
20240829,C,600936.SH,广西广电,20240830,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,243620395.03987327,OK,20240903,-0.0313510019392369,2.38,2.3823799999999995,2.31,2.30769,1.026,1.026,1.0,-0.02676762629282454,True,True,True,20240903,20240830,20240829,1_2_2,0_1pct_0_3pct,30_50,8_15,rank_4_10,True
20240902,C,000627.SZ,天茂集团,20240903,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,776238674.044625,OK,20240904,0.06128992958261281,2.05,2.0520499999999995,2.18,2.17782,28.918,28.918,1.0,0.04959923491021199,True,True,True,20240904,20240903,20240902,3_5,0_1pct_0_3pct,30_50,3_8,rank_4_10,True
20250814,C,603256.SH,宏和科技,20250815,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,1764729703.602175,OK,20250818,0.16581345604050446,30.39,30.420389999999998,35.5,35.4645,1.04,1.04,1.0,0.1357612963914171,True,True,True,20250818,20250815,20250814,lt_0_8,0_1pct_0_3pct,30_50,8_15,rank_4_10,True
