scenario,signal_date,strategy_leg,operation_status,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,buy_executed,sell_executed,buy_reject_reason,sell_reject_reason,buy_trade_date,exit_trade_date,buy_price,exit_price,path_conflict,limit_down_blocked_days,live_order_enabled,initial_equity,peak_equity,drawdown
A_plus_B_plus_C_refined,20240520,A,HISTORICAL_SIM_FILLED,300162.SZ,雷曼光电,chi_next,无,0.403015654731823,500000.0,701507.8273659114,a_audit_dynamic_account_return,,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,0.0
A_plus_B_plus_C_refined,20240521,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,701507.8273659114,701507.8273659114,,,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,0.0
A_plus_B_plus_C_refined,20240522,C,HISTORICAL_SIM_FILLED,002851.SZ,麦格米特,sz_main,,-0.06803326144864469,701507.8273659114,653781.9619384557,c_conservative_daily_replay_fixed_t2_close,,True,True,,,20240523,20240524,31.041009999999996,28.451520000000002,False,0,False,500000.0,701507.8273659114,-0.06803326144864463
A_plus_B_plus_C_refined,20240523,A_B_OR_C,POSITION_OCCUPIED_SKIP,,,,,0.0,653781.9619384557,653781.9619384557,,002851.SZ 麦格米特,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.06803326144864463
A_plus_B_plus_C_refined,20240524,C,HISTORICAL_SIM_FILLED,600149.SH,廊坊发展,sh_main,,0.021243321143972302,653781.9619384557,667670.4621140505,c_conservative_daily_replay_fixed_t2_close,,True,True,,,20240527,20240528,4.3043,4.42557,False,0,False,500000.0,701507.8273659114,-0.048235192726097886
A_plus_B_plus_C_refined,20240527,A_B_OR_C,POSITION_OCCUPIED_SKIP,,,,,0.0,667670.4621140505,667670.4621140505,,600149.SH 廊坊发展,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.048235192726097886
A_plus_B_plus_C_refined,20240528,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,667670.4621140505,667670.4621140505,,,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.048235192726097886
A_plus_B_plus_C_refined,20240529,C,HISTORICAL_SIM_FILLED,002378.SZ,章源钨业,sz_main,,-0.05890331702960031,667670.4621140505,628342.4572128468,c_conservative_daily_replay_fixed_t2_close,,True,True,,,20240530,20240531,7.277269999999999,6.75324,False,0,False,500000.0,701507.8273659114,-0.10429729690656897
A_plus_B_plus_C_refined,20240530,A_B_OR_C,POSITION_OCCUPIED_SKIP,,,,,0.0,628342.4572128468,628342.4572128468,,002378.SZ 章源钨业,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.10429729690656897
A_plus_B_plus_C_refined,20240531,C,HISTORICAL_SIM_FILLED,002055.SZ,得润电子,sz_main,,0.00839840743132406,628342.4572128468,633619.5331749197,c_conservative_daily_replay_fixed_t2_close,,True,True,,,20240603,20240604,7.077069999999999,7.16283,False,0,False,500000.0,701507.8273659114,-0.09677482066865206
